make,model,engine,trim,mileage,year,transmission,fuel,price,url
Volkswagen,Golf,1.6,TDI Match Edition (115 ps),84067,2020,Manual,Diesel,11271,www.cazoo.co.uk/car-details/b53bbdcb-7e6b-5403-ac1f-c2ac0a014ee6/
Volkswagen,Golf,1.5,TSI EVO R-Line Edition (150 ps),103329,2019,Manual,Petrol,11403,www.cazoo.co.uk/car-details/b18fd3fe-81fa-5e80-9cfa-a56ac536d917/
Volkswagen,Golf,1.4,TSI BlueMotion Tech Match Edition (125 ps),37565,2016,Manual,Petrol,11503,www.cazoo.co.uk/car-details/290bf315-790f-5552-80e3-17173fac2640/
Volkswagen,Golf,1.6,TDI Match (115 ps),32854,2019,Manual,Diesel,13967,www.cazoo.co.uk/car-details/bb6c98a0-db99-5ee6-9d0a-e5ef0a4699f8/
Volkswagen,Golf,1.5,TSI Life (150 ps),66559,2022,Manual,Petrol,14367,www.cazoo.co.uk/car-details/eac6697b-2440-5b83-9fc9-aafe766d3281/
Volkswagen,Golf,1.5,TSI EVO R-Line (150 ps),44801,2018,Manual,Petrol,14823,www.cazoo.co.uk/car-details/9be59a78-163f-5d42-8260-e251b6750149/
Volkswagen,Golf,1.5,TSI EVO Match Edition (150 ps),35484,2019,Manual,Petrol,15217,www.cazoo.co.uk/car-details/a157e54e-6488-51ad-bf62-1ffae7185eb3/
Volkswagen,Golf,2.0,TDI GTD (184 ps),60702,2018,Manual,Diesel,15539,www.cazoo.co.uk/car-details/fd867e66-ff78-5db3-b046-d9e56da509dd/
Volkswagen,Golf,1.5,TSI EVO R-Line DSG (150 ps),47943,2018,Automatic,Petrol,15594,www.cazoo.co.uk/car-details/72a3861e-689e-50d7-bcf5-6526a041c66e/
Volkswagen,Golf,2.0,TDI Match Edition DSG (150 ps),32920,2020,Automatic,Diesel,16122,www.cazoo.co.uk/car-details/f9daf81e-606c-5001-9bf0-2dfb75a9e829/
